imdb_title_id,show_id,release_year,type,minutely,description,duration,minute_duration,rating,cast,seasonly,month_added,title,original_title,total_votes,weighted_average_vote,director,listed_in,season_duration,country,year_added,date_added
tt0362138,s5524,2008,Movie,1,"Eager to hook up with a woman he met online, 18-year-old Ian embarks on an epic road trip that speeds straight toward trouble in this raunchy comedy.",109 min,109,R,"Josh Zuckerman, Amanda Crew, Clark Duke, Seth Green, James Marsden, Michael Cudlitz, Dave Sheridan, Alice Greczyn, Katrina Bowden, Charlie McDermott, Mark L. Young",0,September,Sex Drive,Sex Drive,109,4.8,Sean Anders,Comedies,0,United States,2020,2020-09-01 00:00:00
tt1650060,s5530,2019,Movie,1,"A homeless vet who has PTSD steals a motorcycle and hits the road, trying to sort out what life means now that war is in the rear-view mirror.",125 min,125,TV-MA,"Max Martini, Omari Hardwick, Lily Rabe, Elisabeth Röhm, Robert Patrick, Dermot Mulroney, Gary Sinise, JoBeth Williams, Luis Bordonada, Leo Martini",0,May,SGT. Will Gardner,SGT. Will Gardner,904,5.9,Max Martini,Dramas,0,United States,2019,2019-05-19 00:00:00
tt8459250,s5531,2019,Movie,1,"Fresh out of juvenile detention in Marseille, 17-year-old Zach falls for a young prostitute and soon faces a dire dilemma while working as a pimp.",111 min,111,TV-MA,"Dylan Robert, Kenza Fortas, Idir Azougli, Lisa Amedjout, Sofia Bent, Nabila Bounad, Kader Benchoudar, Nabila Ait Amer",0,May,Shéhérazade,Shéhérazade,1420,7.1,Jean-Bernard Marlin,"Dramas, Independent Movies, International Movies",0,France,2019,2019-05-11 00:00:00
tt0409527,s5532,2005,Movie,1,"When a novelist seeks inspiration by urging his wife to have an affair, the line between his story and his real life grows disconcertingly blurry.",146 min,146,TV-14,"Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan, Brijendra Kala, Sadiya Siddiqui, Kamini Khanna",0,April,Shabd,Shabd,1317,5.1,Leena Yadav,"Dramas, International Movies, Romantic Movies",0,India,2019,2019-04-15 00:00:00
tt1425253,s5533,2018,Movie,1,"As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.",116 min,116,TV-14,"Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan, Hu Jun, Wang Jingchun, Guan Xiaotong, Leo Wu",0,November,Shadow,Shadow,2498,5.4,Zhang Yimou,"Action & Adventure, Dramas, International Movies",0,"China, Hong Kong",2019,2019-11-06 00:00:00
tt1836912,s5536,2011,Movie,1,"When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom.",126 min,126,TV-MA,"Rajeev Khandelwal, Kalki Koechlin, Gulshan Devaiah, Shiv Pandit, Kirti Kulhari, Neil Bhoopalam, Nikhil Chinappa, Rajit Kapoor, Rajkummar Rao, Pavan Malhotra",0,July,Shaitan,Shaitan,7859,7.2,Bejoy Nambiar,"Action & Adventure, Dramas, Independent Movies",0,India,2020,2020-07-05 00:00:00
tt2072227,s5540,2012,Movie,1,Three disparate characters uncover government corruption as a small Indian town receives an influx of foreign money to turn it into the next Shanghai.,109 min,109,TV-14,"Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin, Supriya Pathak, Tillotama Shome, Anant Jog, Pitobash, Farooq Shaikh, Arvind Goswami",0,March,Shanghai,Shanghai,9493,7.2,Dibakar Banerjee,"Dramas, Independent Movies, International Movies",0,India,2018,2018-03-01 00:00:00
tt0284479,s5542,2002,Movie,1,"Unable to bribe his way out of a reckless driving charge, an arrogant rich kid is sentenced to community service at a home for senior citizens.",148 min,148,TV-PG,"Abhishek Bachchan, Hrishitaa Bhatt, Amrish Puri, Mohnish Bahl, Helen, Om Puri, Ashish Vidyarthi, A.K. Hangal, Tinnu Anand, Daisy Irani, Dara Singh, Viju Khote, Shubha Khote",0,March,Shararat,Shararat,432,4.6,Gurudev Bhalla,"Comedies, International Movies, Music & Musicals",0,India,2018,2018-03-01 00:00:00
tt3772640,s5556,2014,Movie,1,"To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple.",113 min,113,TV-14,"Kathryn Bernardo, Daniel Padilla, Richard Gomez, Dawn Zulueta, Sofia Andres, Khalil Ramos, Ian Veneracion, Pamu Pamorada, Igi Boy Flores, Marco Gumabao",0,February,She's Dating the Gangster,She's Dating the Gangster,877,7.2,Cathy Garcia-Molina,"Dramas, International Movies, Romantic Movies",0,Philippines,2019,2019-02-27 00:00:00
tt3264438,s5559,2013,Movie,1,"When his best friend gets stranded in the rain and becomes the subject of a romantic viral video, a morning show host must confront his true feelings.",111 min,111,TV-14,"Bea Alonzo, Dingdong Dantes, Enrique Gil",0,December,She's the One,She's the One,139,6.4,Mae Czarina Cruz,"Dramas, International Movies, Romantic Movies",0,Philippines,2020,2020-12-10 00:00:00
tt0942384,s5561,2010,Movie,1,A forensic psychiatrist has to think outside the box when she takes on a patient whose multiple personalities lead to a trail of murder victims.,112 min,112,R,"Julianne Moore, Jonathan Rhys Meyers, Jeffrey DeMunn, Frances Conroy, Nate Corddry, Brooklynn Proulx, Brian Anthony Wilson, Joyce Feurring, Steven Rishard, Charles Techman",0,December,Shelter,Shelter,20714,7.6,"Måns Mårlind, Björn Stein","Horror Movies, Thrillers",0,United States,2017,2017-12-29 00:00:00
tt0988045,s5564,2009,Movie,1,The game is afoot for an eccentric detective who must use his brains and brawn to track down a nefarious nemesis with the help of his partner.,128 min,128,PG-13,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, James Fox, Hans Matheson",0,January,Sherlock Holmes,Sherlock Holmes,574055,7.6,Guy Ritchie,"Action & Adventure, Comedies",0,"United States, Germany, United Kingdom, Australia",2021,2021-01-01 00:00:00
tt5830022,s5565,1991,Movie,1,"When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise.",163 min,163,TV-14,"Mithun Chakraborty, Naseeruddin Shah, Irina Kushnareva, Varsha Usgaonkar, Gulshan Grover, Anjana Mumtaz, Amrish Puri, Amrit Pal, Achyut Potdar, Lilliput",0,December,Shikari,Shikari,1025,6.7,"Latif Faiziyev, Umesh Mehra","Dramas, International Movies, Music & Musicals",0,"India, Soviet Union",2017,2017-12-08 00:00:00
